accomodation_id,city_id,city_name,accom_nm,address,rate,longitude,latitude
AC01,C22,강릉,세인트존스호텔,강원 강릉시 창해로 307-0,5,128.9209314,37.79128075
AC02,C22,강릉,스카이베이호텔경포,강원 강릉시 해안로 476-0,4.99,128.9077795,37.80426341
AC03,C22,강릉,라카이샌드파인리조트,강원 강릉시 해안로 536-0,4.97,128.9044734,37.80706005
AC04,C22,강릉,호텔탑스텐강릉,강원 강릉시 헌화로 455-34,4.96,129.052925,37.65466341
AC05,C22,강릉,씨마크호텔,강원 강릉시 해안로406번길 2-0,4.94,128.9150752,37.79720001
AC06,C22,강릉,썬크루즈리조트,강원 강릉시 헌화로 950-39,4.93,129.0419045,37.68406187
AC07,C22,강릉,SL호텔강릉,강원 강릉시 주문로 59-0,4.91,128.8254149,37.88915566
AC08,C22,강릉,연곡해변솔향기캠핑장,강원 강릉시 해안로 1282-0,4.9,128.8520583,37.85990446
AC09,C22,강릉,파인아트라벨,강원 강릉시 해안로 32-0,4.88,128.9420006,37.77564522
AC10,C22,강릉,비치크루즈,강원 강릉시,4.87,128.8759061,37.75210808
AC11,C22,강릉,썬크루즈호텔&리조트,강원 강릉시 헌화로 950-39,4.86,129.0419045,37.68406187
AC12,C22,강릉,강릉씨티호텔,강원 강릉시 교동광장로 112-0,4.84,128.8767181,37.76432709
AC13,C22,강릉,스테이인터뷰,강원 강릉시 율곡로 1458-0,4.83,129.0122392,37.70795386
AC14,C22,강릉,하이오션경포,강원 강릉시 경포로463번길 30-5,4.81,128.9035059,37.80391746
AC15,C22,강릉,강릉관광호텔,강원 강릉시 금성로 62-0,4.8,128.8946311,37.75179161
AC16,C22,강릉,국군송정콘도,강원 강릉시 창해로 141-0,4.78,128.9347674,37.78106719
AC17,C22,강릉,호텔아비오,강원 강릉시 창해로 229-0,4.77,128.9277857,37.78674864
AC18,C22,강릉,호텔큐브,강원 강릉시 창해로 431-0,4.75,128.9132029,37.79980575
AC19,C22,강릉,베니키아호텔산과바다주문진리조트,강원 강릉시 해안로 2070-0,4.74,128.8199616,37.90881179
AC20,C22,강릉,더블루힐주문진,강원 강릉시 주문북로 147-32,4.72,128.8183405,37.90392399
AC21,C22,강릉,경포비치관광호텔,강원 강릉시 해안로406번길 17-0,4.71,128.9136319,37.79898217
AC22,C22,강릉,경포수호텔,강원 강릉시 창해로 439-0,4.7,128.9124994,37.80025345
AC23,C22,강릉,포시즌호텔,강원 강릉시 해안로 615-0,4.68,128.8983309,37.81207941
AC24,C22,강릉,루이스호텔,강원 강릉시 옥가로50번길 11-1,4.67,128.9012764,37.76060992
AC25,C22,강릉,소금강자동차야영장,강원 강릉시,4.65,128.8759061,37.75210808
AC26,C22,강릉,썬크루즈 호텔&리조트,강원 강릉시 헌화로 950-39,4.64,129.0419045,37.68406187
AC27,C22,강릉,파라다이스모텔,강원 강릉시 창해로 291-0,4.62,128.9222614,37.78994591
