attraction_id,city_id,city_nm,attraction_nm,address,theme,rate,longitude,latitude
A01,C01,서울,가락동농수산물도매시장,서울 송파구 양재대로 932-0,Shopping,5,127.1087136,37.49453769
A02,C01,서울,타임스퀘어,서울 영등포구 영중로 15-0,Shopping,4.998,126.903716,37.51723326
A03,C01,서울,노량진수산시장,서울 동작구 노들로 674-0,Shopping,4.997,126.937976,37.51482369
A04,C01,서울,롯데몰김포공항점,서울 강서구 하늘길 38-0,Shopping,4.995,126.8029604,37.57136985
A05,C01,서울,IFC몰,서울 영등포구 국제금융로 10-0,Shopping,4.994,126.9248767,37.52517752
A06,C01,서울,롯데월드몰,서울 송파구 올림픽로 300-0,Shopping,4.992,127.1044469,37.51375196
A07,C01,서울,가든파이브라이프,서울 송파구 충민로 66-0,Shopping,4.991,127.1249618,37.47761484
A08,C01,서울,강서농산물도매시장,서울 강서구 발산로 40-0,Shopping,4.989,126.8228628,37.55537701
A09,C01,서울,현대시티아울렛동대문점,서울 중구 장충단로13길 20-0,Shopping,4.988,127.0076665,37.56873455
A10,C01,서울,롯데몰은평점,서울 은평구 통일로 1050-0,Shopping,4.986,126.9179003,37.63753667
A11,C01,서울,동대문종합시장,서울 종로구 종로 266-0,Shopping,4.985,127.0073287,37.57070649
A12,C01,서울,경동시장,서울 동대문구 고산자로36길 3-0,Shopping,4.983,127.0391429,37.57903777
A13,C01,서울,망원시장,서울 마포구 포은로8길 14-0,Shopping,4.982,126.905628,37.55624
A14,C01,서울,마리오아울렛1관,서울 금천구 디지털로 185-0,Shopping,4.98,126.8872528,37.47812746
A15,C01,서울,현대시티아울렛가산점,서울 금천구 디지털로10길 9-0,Shopping,4.979,126.8890553,37.47761902
A16,C01,서울,W몰,서울 금천구 디지털로 188-0,Shopping,4.977,126.8876762,37.47732723
A17,C01,서울,현대시티몰가든파이브점,서울 송파구 충민로 66-0,Shopping,4.976,127.1249618,37.47761484
A18,C01,서울,광장시장,서울 종로구 창경궁로 88-0,Shopping,4.974,126.9997072,37.57011251
A19,C01,서울,가든파이브툴,서울 송파구 충민로 10-0,Shopping,4.972,127.1191067,37.47861732
A20,C01,서울,마장축산물시장,서울 성동구 마장로31길 40-0,Shopping,4.971,127.0384065,37.56979398
A21,C01,서울,두산타워,서울 중구 장충단로 275-0,Shopping,4.969,127.0087751,37.56888494
A22,C01,서울,가든파이브웍스,서울 송파구 충민로 52-0,Shopping,4.968,127.122746,37.47771763
