transportation_id,depart_id,dest_id,depart_nm,dest_nm,depart_time,destination_time,grade,fare,duration,trans_cate
trans_bus_00001,C21,C01,평창,서울,7:35:00,9:53:00,우등,19600,138,bus
trans_bus_00002,C21,C01,평창,서울,10:05:00,12:26:00,일반,15100,141,bus
trans_bus_00003,C21,C01,평창,서울,12:55:00,15:21:00,일반,15100,146,bus
trans_bus_00004,C21,C01,평창,서울,16:45:00,19:26:00,우등,19600,161,bus
trans_bus_00005,C21,C01,평창,서울,19:35:00,21:48:00,우등,19600,133,bus
trans_bus_00006,C21,C19,평창,원주,7:15:00,9:14:00,일반,9000,119,bus
trans_bus_00007,C21,C19,평창,원주,10:55:00,12:54:00,일반,9000,119,bus
trans_bus_00008,C21,C19,평창,원주,13:55:00,15:54:00,일반,9000,119,bus
trans_bus_00009,C21,C19,평창,원주,18:15:00,20:14:00,일반,9000,119,bus
trans_bus_00010,C20,C22,횡성,강릉,13:05:00,14:17:00,일반,11700,72,bus
trans_bus_00011,C20,C06,횡성,경주,8:45:00,12:45:00,우등,27000,240,bus
trans_bus_00012,C20,C06,횡성,경주,10:45:00,14:45:00,우등,27000,240,bus
trans_bus_00013,C20,C06,횡성,경주,18:05:00,22:05:00,우등,27000,240,bus
trans_bus_00014,C20,C05,횡성,대구,9:30:00,12:30:00,우등,23700,180,bus
trans_bus_00015,C20,C05,횡성,대구,12:45:00,15:45:00,우등,23700,180,bus
trans_bus_00016,C20,C05,횡성,대구,14:35:00,17:35:00,우등,23700,180,bus
trans_bus_00017,C20,C05,횡성,대구,17:35:00,20:35:00,우등,23700,180,bus
trans_bus_00018,C20,C04,횡성,대전,9:55:00,12:55:00,일반,14800,180,bus
trans_bus_00019,C20,C04,횡성,대전,10:25:00,13:25:00,일반,14800,180,bus
trans_bus_00020,C20,C04,횡성,대전,12:20:00,15:20:00,일반,14800,180,bus
trans_bus_00021,C20,C04,횡성,대전,14:00:00,17:00:00,일반,14800,180,bus
trans_bus_00022,C20,C04,횡성,대전,16:20:00,19:20:00,일반,14800,180,bus
trans_bus_00023,C20,C01,횡성,서울,7:00:00,8:50:00,일반,11300,110,bus
trans_bus_00024,C20,C01,횡성,서울,9:50:00,11:40:00,일반,11300,110,bus
trans_bus_00025,C20,C01,횡성,서울,13:30:00,15:20:00,일반,11300,110,bus
trans_bus_00026,C20,C01,횡성,서울,18:10:00,20:00:00,일반,11300,110,bus
